VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
      0.180090045022511                    0.15                       0        1.11641399153117                       0                       0                       0                       0                       0       -4111.44096901967       -3749.95208712755   1.84004903899861E-005      0.0171004679797589        299.591502370448        301688.635927339      0.0552720938953177                    1007      0.0815720920594947        6309382.46973487                       0   4.93990920604674E-005        6.21066176265165 
      0.184092046023012                    0.15                       0        1.11640641867011                       0                       0                       0                       0                       0       -4111.87639767149       -3752.63664522691   1.84005225485176E-005      0.0170280932401749        299.592169925295        301689.319503502      0.0551859012517469                    1007      0.0814858994159238        6279994.01350675                       0    4.9322058750978E-005        6.20099822040079 
      0.188094047023512                    0.15                       0        1.11639897527547                       0                       0                       0                       0                       0        -4112.3050140793       -3755.25938323165   1.84005539472412E-005      0.0169573752661462        299.592824732679        301689.987415583      0.0551014788124548                    1007      0.0814014769766318        6251284.83541771                       0   4.92466070577796E-005        6.19153365807393 
      0.192096048024012                    0.15                       0        1.11639186678796                       0                       0                       0                       0                       0       -4112.71600839482       -3757.72220338685   1.84005833804734E-005       0.016890943056907        299.593446564591        301690.614807404      0.0550216355842313                    1007      0.0813216337484083        6224332.83191596                       0   4.91752467312744E-005        6.18258382225705 
      0.196098049024512                    0.15                       0        1.11638475830046                       0                       0                       0                       0                       0       -4113.12700271034       -3760.18502354204   1.84006128137057E-005      0.0168245108476679        299.594068396503        301691.242199225      0.0549417923560078                    1007      0.0812417905201847        6197380.82841421                       0   4.91038864047691E-005        6.17363398644016 
      0.200100050025012                    0.15                       0        1.11637764981295                       0                       0                       0                       0                       0       -4113.53799702586       -3762.64784369724   1.84006422469379E-005      0.0167580786384288        299.594690228415        301691.869591045      0.0548619491277843                    1007      0.0811619472919612        6170428.82491246                       0   4.90325260782639E-005        6.16468415062328 
      0.204102051025513                    0.15                       0        1.11637094493148                       0                       0                       0                       0                       0       -4113.92956658994       -3764.93225922043   1.84006696273237E-005      0.0166964681549794        299.595269009016        301692.452898324      0.0547873054804833                    1007      0.0810873046957176        6145452.37318659                       0   4.89658133961678E-005        6.15631846727998 
      0.208104052026013                    0.15                       0        1.11636426509649                       0                       0                       0                       0                       0       -4114.31993071731       -3767.20560353419   1.84006968803165E-005      0.0166351568921021        299.595845117994         301693.03346986      0.0547129845022112                    1007      0.0810129848337281        6120598.51775888                       0   4.88993891317211E-005        6.14798903453344 
      0.212106053026513                    0.15                       0         1.1163575852615                       0                       0                       0                       0                       0       -4114.71029484469       -3769.47894784795   1.84007241333093E-005      0.0165738456292248        299.596421226971        301693.614041396       0.054638663523939                    1007      0.0809386649717385        6095744.66233116                       0   4.88329648672745E-005         6.1396596017869 
      0.216108054027014                    0.15                       0        1.11635112130326                       0                       0                       0                       0                       0       -4115.09031346728       -3771.65356775067    1.8400750068695E-005      0.0165152264169122        299.596969703724        301694.166317534       0.054567271048737                    1007      0.0808672729382043        6071993.01450725                       0   4.87691586881986E-005        6.13165916521112 
      0.220110055027514                    0.15                       0        1.11634479867869                       0                       0                       0                       0                       0        -4115.4635589279        -3773.7635531633   1.84007751414484E-005      0.0164583696796931        299.597500089767        301694.700068784      0.0544977958531693                    1007      0.0807977977426366        6048962.97773887                       0   4.87070665594897E-005        6.12387412115596 
      0.224112056028014                    0.15                       0        1.11633847605413                       0                       0                       0                       0                       0       -4115.83680438852       -3775.87353857593   1.84008002142018E-005       0.016401512942474        299.598030475809        301695.233820035      0.0544283206576016                    1007      0.0807283225470689        6025932.94097048                       0   4.86449744307808E-005        6.11608907710081 
